,Abbrev,Long,Category
4343,B10[Br-B],Presence/absence of Br &#8211; B at topological distance 10, 2D Atom Pairs
4344,B10[Br-Si],Presence/absence of Br &#8211; Si at topological distance 10, 2D Atom Pairs
4345,B10[Br-X],Presence/absence of Br &#8211; X at topological distance 10, 2D Atom Pairs
4346,B10[I-I],Presence/absence of I &#8211; I at topological distance 10, 2D Atom Pairs
4347,B10[I-B],Presence/absence of I &#8211; B at topological distance 10, 2D Atom Pairs
4348,B10[I-Si],Presence/absence of I &#8211; Si at topological distance 10, 2D Atom Pairs
4349,B10[I-X],Presence/absence of I &#8211; X at topological distance 10, 2D Atom Pairs
4350,B10[B-B],Presence/absence of B &#8211; B at topological distance 10, 2D Atom Pairs
4351,B10[B-Si],Presence/absence of B &#8211; Si at topological distance 10, 2D Atom Pairs
4352,B10[B-X],Presence/absence of B &#8211; X at topological distance 10, 2D Atom Pairs
4353,B10[Si-Si],Presence/absence of Si &#8211; Si at topological distance 10, 2D Atom Pairs
4354,B10[Si-X],Presence/absence of Si &#8211; X at topological distance 10, 2D Atom Pairs
4355,B10[X-X],Presence/absence of X &#8211; X at topological distance 10, 2D Atom Pairs
4356,F01[C-C],Frequency of C &#8211; C at topological distance 1, 2D Atom Pairs
4357,F01[C-N],Frequency of C &#8211; N at topological distance 1, 2D Atom Pairs
4358,F01[C-O],Frequency of C &#8211; O at topological distance 1, 2D Atom Pairs
4359,F01[C-S],Frequency of C &#8211; S at topological distance 1, 2D Atom Pairs
4360,F01[C-P],Frequency of C &#8211; P at topological distance 1, 2D Atom Pairs
4361,F01[C-F],Frequency of C &#8211; F at topological distance 1, 2D Atom Pairs
4362,F01[C-Cl],Frequency of C &#8211; Cl at topological distance 1, 2D Atom Pairs
4363,F01[C-Br],Frequency of C &#8211; Br at topological distance 1, 2D Atom Pairs
4364,F01[C-I],Frequency of C &#8211; I at topological distance 1, 2D Atom Pairs
4365,F01[C-B],Frequency of C &#8211; B at topological distance 1, 2D Atom Pairs
4366,F01[C-Si],Frequency of C &#8211; Si at topological distance 1, 2D Atom Pairs
4367,F01[C-X],Frequency of C &#8211; X at topological distance 1, 2D Atom Pairs
4368,F01[N-N],Frequency of N &#8211; N at topological distance 1, 2D Atom Pairs
4369,F01[N-O],Frequency of N &#8211; O at topological distance 1, 2D Atom Pairs
4370,F01[N-S],Frequency of N &#8211; S at topological distance 1, 2D Atom Pairs
4371,F01[N-P],Frequency of N &#8211; P at topological distance 1, 2D Atom Pairs
4372,F01[N-F],Frequency of N &#8211; F at topological distance 1, 2D Atom Pairs
4373,F01[N-Cl],Frequency of N &#8211; Cl at topological distance 1, 2D Atom Pairs
4374,F01[N-Br],Frequency of N &#8211; Br at topological distance 1, 2D Atom Pairs
4375,F01[N-I],Frequency of N &#8211; I at topological distance 1, 2D Atom Pairs
4376,F01[N-B],Frequency of N &#8211; B at topological distance 1, 2D Atom Pairs
4377,F01[N-Si],Frequency of N &#8211; Si at topological distance 1, 2D Atom Pairs
4378,F01[N-X],Frequency of N &#8211; X at topological distance 1, 2D Atom Pairs
4379,F01[O-O],Frequency of O &#8211; O at topological distance 1, 2D Atom Pairs
4380,F01[O-S],Frequency of O &#8211; S at topological distance 1, 2D Atom Pairs
4381,F01[O-P],Frequency of O &#8211; P at topological distance 1, 2D Atom Pairs
4382,F01[O-F],Frequency of O &#8211; F at topological distance 1, 2D Atom Pairs
4383,F01[O-Cl],Frequency of O &#8211; Cl at topological distance 1, 2D Atom Pairs
4384,F01[O-Br],Frequency of O &#8211; Br at topological distance 1, 2D Atom Pairs
4385,F01[O-I],Frequency of O &#8211; I at topological distance 1, 2D Atom Pairs
4386,F01[O-B],Frequency of O &#8211; B at topological distance 1, 2D Atom Pairs
4387,F01[O-Si],Frequency of O &#8211; Si at topological distance 1, 2D Atom Pairs
4388,F01[O-X],Frequency of O &#8211; X at topological distance 1, 2D Atom Pairs
4389,F01[S-S],Frequency of S &#8211; S at topological distance 1, 2D Atom Pairs
4390,F01[S-P],Frequency of S &#8211; P at topological distance 1, 2D Atom Pairs
4391,F01[S-F],Frequency of S &#8211; F at topological distance 1, 2D Atom Pairs
4392,F01[S-Cl],Frequency of S &#8211; Cl at topological distance 1, 2D Atom Pairs
4393,F01[S-Br],Frequency of S &#8211; Br at topological distance 1, 2D Atom Pairs
4394,F01[S-I],Frequency of S &#8211; I at topological distance 1, 2D Atom Pairs
4395,F01[S-B],Frequency of S &#8211; B at topological distance 1, 2D Atom Pairs
4396,F01[S-Si],Frequency of S &#8211; Si at topological distance 1, 2D Atom Pairs
4397,F01[S-X],Frequency of S &#8211; X at topological distance 1, 2D Atom Pairs
4398,F01[P-P],Frequency of P &#8211; P at topological distance 1, 2D Atom Pairs
4399,F01[P-F],Frequency of P &#8211; F at topological distance 1, 2D Atom Pairs
4400,F01[P-Cl],Frequency of P &#8211; Cl at topological distance 1, 2D Atom Pairs
4401,F01[P-Br],Frequency of P &#8211; Br at topological distance 1, 2D Atom Pairs
4402,F01[P-I],Frequency of P &#8211; I at topological distance 1, 2D Atom Pairs
4403,F01[P-B],Frequency of P &#8211; B at topological distance 1, 2D Atom Pairs
4404,F01[P-Si],Frequency of P &#8211; Si at topological distance 1, 2D Atom Pairs
4405,F01[P-X],Frequency of P &#8211; X at topological distance 1, 2D Atom Pairs
4406,F01[F-F],Frequency of F &#8211; F at topological distance 1, 2D Atom Pairs
4407,F01[F-Cl],Frequency of F &#8211; Cl at topological distance 1, 2D Atom Pairs
4408,F01[F-Br],Frequency of F &#8211; Br at topological distance 1, 2D Atom Pairs
4409,F01[F-I],Frequency of F &#8211; I at topological distance 1, 2D Atom Pairs
4410,F01[F-B],Frequency of F &#8211; B at topological distance 1, 2D Atom Pairs
4411,F01[F-Si],Frequency of F &#8211; Si at topological distance 1, 2D Atom Pairs
4412,F01[F-X],Frequency of F &#8211; X at topological distance 1, 2D Atom Pairs
4413,F01[Cl-Cl],Frequency of Cl &#8211; Cl at topological distance 1, 2D Atom Pairs
4414,F01[Cl-Br],Frequency of Cl &#8211; Br at topological distance 1, 2D Atom Pairs
4415,F01[Cl-I],Frequency of Cl &#8211; I at topological distance 1, 2D Atom Pairs
4416,F01[Cl-B],Frequency of Cl &#8211; B at topological distance 1, 2D Atom Pairs
4417,F01[Cl-Si],Frequency of Cl &#8211; Si at topological distance 1, 2D Atom Pairs
4418,F01[Cl-X],Frequency of Cl &#8211; X at topological distance 1, 2D Atom Pairs
4419,F01[Br-Br],Frequency of Br &#8211; Br at topological distance 1, 2D Atom Pairs
4420,F01[Br-I],Frequency of Br &#8211; I at topological distance 1, 2D Atom Pairs
4421,F01[Br-B],Frequency of Br &#8211; B at topological distance 1, 2D Atom Pairs
4422,F01[Br-Si],Frequency of Br &#8211; Si at topological distance 1, 2D Atom Pairs
4423,F01[Br-X],Frequency of Br &#8211; X at topological distance 1, 2D Atom Pairs
4424,F01[I-I],Frequency of I &#8211; I at topological distance 1, 2D Atom Pairs
4425,F01[I-B],Frequency of I &#8211; B at topological distance 1, 2D Atom Pairs
4426,F01[I-Si],Frequency of I &#8211; Si at topological distance 1, 2D Atom Pairs
4427,F01[I-X],Frequency of I &#8211; X at topological distance 1, 2D Atom Pairs
4428,F01[B-B],Frequency of B &#8211; B at topological distance 1, 2D Atom Pairs
4429,F01[B-Si],Frequency of B &#8211; Si at topological distance 1, 2D Atom Pairs
4430,F01[B-X],Frequency of B &#8211; X at topological distance 1, 2D Atom Pairs
4431,F01[Si-Si],Frequency of Si &#8211; Si at topological distance 1, 2D Atom Pairs
4432,F01[Si-X],Frequency of Si &#8211; X at topological distance 1, 2D Atom Pairs
4433,F01[X-X],Frequency of X &#8211; X at topological distance 1, 2D Atom Pairs
4434,F02[C-C],Frequency of C &#8211; C at topological distance 2, 2D Atom Pairs
4435,F02[C-N],Frequency of C &#8211; N at topological distance 2, 2D Atom Pairs
4436,F02[C-O],Frequency of C &#8211; O at topological distance 2, 2D Atom Pairs
4437,F02[C-S],Frequency of C &#8211; S at topological distance 2, 2D Atom Pairs
4438,F02[C-P],Frequency of C &#8211; P at topological distance 2, 2D Atom Pairs
4439,F02[C-F],Frequency of C &#8211; F at topological distance 2, 2D Atom Pairs
4440,F02[C-Cl],Frequency of C &#8211; Cl at topological distance 2, 2D Atom Pairs
4441,F02[C-Br],Frequency of C &#8211; Br at topological distance 2, 2D Atom Pairs
4442,F02[C-I],Frequency of C &#8211; I at topological distance 2, 2D Atom Pairs
4443,F02[C-B],Frequency of C &#8211; B at topological distance 2, 2D Atom Pairs
4444,F02[C-Si],Frequency of C &#8211; Si at topological distance 2, 2D Atom Pairs
4445,F02[C-X],Frequency of C &#8211; X at topological distance 2, 2D Atom Pairs
4446,F02[N-N],Frequency of N &#8211; N at topological distance 2, 2D Atom Pairs
4447,F02[N-O],Frequency of N &#8211; O at topological distance 2, 2D Atom Pairs
4448,F02[N-S],Frequency of N &#8211; S at topological distance 2, 2D Atom Pairs
4449,F02[N-P],Frequency of N &#8211; P at topological distance 2, 2D Atom Pairs
4450,F02[N-F],Frequency of N &#8211; F at topological distance 2, 2D Atom Pairs
4451,F02[N-Cl],Frequency of N &#8211; Cl at topological distance 2, 2D Atom Pairs
4452,F02[N-Br],Frequency of N &#8211; Br at topological distance 2, 2D Atom Pairs
4453,F02[N-I],Frequency of N &#8211; I at topological distance 2, 2D Atom Pairs
4454,F02[N-B],Frequency of N &#8211; B at topological distance 2, 2D Atom Pairs
4455,F02[N-Si],Frequency of N &#8211; Si at topological distance 2, 2D Atom Pairs
4456,F02[N-X],Frequency of N &#8211; X at topological distance 2, 2D Atom Pairs
4457,F02[O-O],Frequency of O &#8211; O at topological distance 2, 2D Atom Pairs
4458,F02[O-S],Frequency of O &#8211; S at topological distance 2, 2D Atom Pairs
4459,F02[O-P],Frequency of O &#8211; P at topological distance 2, 2D Atom Pairs
4460,F02[O-F],Frequency of O &#8211; F at topological distance 2, 2D Atom Pairs
4461,F02[O-Cl],Frequency of O &#8211; Cl at topological distance 2, 2D Atom Pairs
4462,F02[O-Br],Frequency of O &#8211; Br at topological distance 2, 2D Atom Pairs
4463,F02[O-I],Frequency of O &#8211; I at topological distance 2, 2D Atom Pairs
4464,F02[O-B],Frequency of O &#8211; B at topological distance 2, 2D Atom Pairs
4465,F02[O-Si],Frequency of O &#8211; Si at topological distance 2, 2D Atom Pairs
4466,F02[O-X],Frequency of O &#8211; X at topological distance 2, 2D Atom Pairs
4467,F02[S-S],Frequency of S &#8211; S at topological distance 2, 2D Atom Pairs
4468,F02[S-P],Frequency of S &#8211; P at topological distance 2, 2D Atom Pairs
4469,F02[S-F],Frequency of S &#8211; F at topological distance 2, 2D Atom Pairs
4470,F02[S-Cl],Frequency of S &#8211; Cl at topological distance 2, 2D Atom Pairs
4471,F02[S-Br],Frequency of S &#8211; Br at topological distance 2, 2D Atom Pairs
4472,F02[S-I],Frequency of S &#8211; I at topological distance 2, 2D Atom Pairs
4473,F02[S-B],Frequency of S &#8211; B at topological distance 2, 2D Atom Pairs
4474,F02[S-Si],Frequency of S &#8211; Si at topological distance 2, 2D Atom Pairs
4475,F02[S-X],Frequency of S &#8211; X at topological distance 2, 2D Atom Pairs
4476,F02[P-P],Frequency of P &#8211; P at topological distance 2, 2D Atom Pairs
4477,F02[P-F],Frequency of P &#8211; F at topological distance 2, 2D Atom Pairs
4478,F02[P-Cl],Frequency of P &#8211; Cl at topological distance 2, 2D Atom Pairs
4479,F02[P-Br],Frequency of P &#8211; Br at topological distance 2, 2D Atom Pairs
4480,F02[P-I],Frequency of P &#8211; I at topological distance 2, 2D Atom Pairs
4481,F02[P-B],Frequency of P &#8211; B at topological distance 2, 2D Atom Pairs
4482,F02[P-Si],Frequency of P &#8211; Si at topological distance 2, 2D Atom Pairs
4483,F02[P-X],Frequency of P &#8211; X at topological distance 2, 2D Atom Pairs
4484,F02[F-F],Frequency of F &#8211; F at topological distance 2, 2D Atom Pairs
4485,F02[F-Cl],Frequency of F &#8211; Cl at topological distance 2, 2D Atom Pairs
4486,F02[F-Br],Frequency of F &#8211; Br at topological distance 2, 2D Atom Pairs
4487,F02[F-I],Frequency of F &#8211; I at topological distance 2, 2D Atom Pairs
4488,F02[F-B],Frequency of F &#8211; B at topological distance 2, 2D Atom Pairs
4489,F02[F-Si],Frequency of F &#8211; Si at topological distance 2, 2D Atom Pairs
4490,F02[F-X],Frequency of F &#8211; X at topological distance 2, 2D Atom Pairs
4491,F02[Cl-Cl],Frequency of Cl &#8211; Cl at topological distance 2, 2D Atom Pairs
4492,F02[Cl-Br],Frequency of Cl &#8211; Br at topological distance 2, 2D Atom Pairs
4493,F02[Cl-I],Frequency of Cl &#8211; I at topological distance 2, 2D Atom Pairs
4494,F02[Cl-B],Frequency of Cl &#8211; B at topological distance 2, 2D Atom Pairs
4495,F02[Cl-Si],Frequency of Cl &#8211; Si at topological distance 2, 2D Atom Pairs
4496,F02[Cl-X],Frequency of Cl &#8211; X at topological distance 2, 2D Atom Pairs
4497,F02[Br-Br],Frequency of Br &#8211; Br at topological distance 2, 2D Atom Pairs
4498,F02[Br-I],Frequency of Br &#8211; I at topological distance 2, 2D Atom Pairs
4499,F02[Br-B],Frequency of Br &#8211; B at topological distance 2, 2D Atom Pairs
4500,F02[Br-Si],Frequency of Br &#8211; Si at topological distance 2, 2D Atom Pairs
4501,F02[Br-X],Frequency of Br &#8211; X at topological distance 2, 2D Atom Pairs
4502,F02[I-I],Frequency of I &#8211; I at topological distance 2, 2D Atom Pairs
4503,F02[I-B],Frequency of I &#8211; B at topological distance 2, 2D Atom Pairs
4504,F02[I-Si],Frequency of I &#8211; Si at topological distance 2, 2D Atom Pairs
4505,F02[I-X],Frequency of I &#8211; X at topological distance 2, 2D Atom Pairs
4506,F02[B-B],Frequency of B &#8211; B at topological distance 2, 2D Atom Pairs
4507,F02[B-Si],Frequency of B &#8211; Si at topological distance 2, 2D Atom Pairs
4508,F02[B-X],Frequency of B &#8211; X at topological distance 2, 2D Atom Pairs
4509,F02[Si-Si],Frequency of Si &#8211; Si at topological distance 2, 2D Atom Pairs
4510,F02[Si-X],Frequency of Si &#8211; X at topological distance 2, 2D Atom Pairs
4511,F02[X-X],Frequency of X &#8211; X at topological distance 2, 2D Atom Pairs
4512,F03[C-C],Frequency of C &#8211; C at topological distance 3, 2D Atom Pairs
4513,F03[C-N],Frequency of C &#8211; N at topological distance 3, 2D Atom Pairs
4514,F03[C-O],Frequency of C &#8211; O at topological distance 3, 2D Atom Pairs
4515,F03[C-S],Frequency of C &#8211; S at topological distance 3, 2D Atom Pairs
4516,F03[C-P],Frequency of C &#8211; P at topological distance 3, 2D Atom Pairs
4517,F03[C-F],Frequency of C &#8211; F at topological distance 3, 2D Atom Pairs
4518,F03[C-Cl],Frequency of C &#8211; Cl at topological distance 3, 2D Atom Pairs
4519,F03[C-Br],Frequency of C &#8211; Br at topological distance 3, 2D Atom Pairs
4520,F03[C-I],Frequency of C &#8211; I at topological distance 3, 2D Atom Pairs
4521,F03[C-B],Frequency of C &#8211; B at topological distance 3, 2D Atom Pairs
4522,F03[C-Si],Frequency of C &#8211; Si at topological distance 3, 2D Atom Pairs
4523,F03[C-X],Frequency of C &#8211; X at topological distance 3, 2D Atom Pairs
4524,F03[N-N],Frequency of N &#8211; N at topological distance 3, 2D Atom Pairs
4525,F03[N-O],Frequency of N &#8211; O at topological distance 3, 2D Atom Pairs
4526,F03[N-S],Frequency of N &#8211; S at topological distance 3, 2D Atom Pairs
4527,F03[N-P],Frequency of N &#8211; P at topological distance 3, 2D Atom Pairs
4528,F03[N-F],Frequency of N &#8211; F at topological distance 3, 2D Atom Pairs
4529,F03[N-Cl],Frequency of N &#8211; Cl at topological distance 3, 2D Atom Pairs
4530,F03[N-Br],Frequency of N &#8211; Br at topological distance 3, 2D Atom Pairs
4531,F03[N-I],Frequency of N &#8211; I at topological distance 3, 2D Atom Pairs
4532,F03[N-B],Frequency of N &#8211; B at topological distance 3, 2D Atom Pairs
4533,F03[N-Si],Frequency of N &#8211; Si at topological distance 3, 2D Atom Pairs
4534,F03[N-X],Frequency of N &#8211; X at topological distance 3, 2D Atom Pairs
4535,F03[O-O],Frequency of O &#8211; O at topological distance 3, 2D Atom Pairs
4536,F03[O-S],Frequency of O &#8211; S at topological distance 3, 2D Atom Pairs
4537,F03[O-P],Frequency of O &#8211; P at topological distance 3, 2D Atom Pairs
4538,F03[O-F],Frequency of O &#8211; F at topological distance 3, 2D Atom Pairs
4539,F03[O-Cl],Frequency of O &#8211; Cl at topological distance 3, 2D Atom Pairs
4540,F03[O-Br],Frequency of O &#8211; Br at topological distance 3, 2D Atom Pairs
4541,F03[O-I],Frequency of O &#8211; I at topological distance 3, 2D Atom Pairs
4542,F03[O-B],Frequency of O &#8211; B at topological distance 3, 2D Atom Pairs
4543,F03[O-Si],Frequency of O &#8211; Si at topological distance 3, 2D Atom Pairs
4544,F03[O-X],Frequency of O &#8211; X at topological distance 3, 2D Atom Pairs
4545,F03[S-S],Frequency of S &#8211; S at topological distance 3, 2D Atom Pairs
4546,F03[S-P],Frequency of S &#8211; P at topological distance 3, 2D Atom Pairs
4547,F03[S-F],Frequency of S &#8211; F at topological distance 3, 2D Atom Pairs
4548,F03[S-Cl],Frequency of S &#8211; Cl at topological distance 3, 2D Atom Pairs
4549,F03[S-Br],Frequency of S &#8211; Br at topological distance 3, 2D Atom Pairs
4550,F03[S-I],Frequency of S &#8211; I at topological distance 3, 2D Atom Pairs
4551,F03[S-B],Frequency of S &#8211; B at topological distance 3, 2D Atom Pairs
4552,F03[S-Si],Frequency of S &#8211; Si at topological distance 3, 2D Atom Pairs
4553,F03[S-X],Frequency of S &#8211; X at topological distance 3, 2D Atom Pairs
4554,F03[P-P],Frequency of P &#8211; P at topological distance 3, 2D Atom Pairs
4555,F03[P-F],Frequency of P &#8211; F at topological distance 3, 2D Atom Pairs
4556,F03[P-Cl],Frequency of P &#8211; Cl at topological distance 3, 2D Atom Pairs
4557,F03[P-Br],Frequency of P &#8211; Br at topological distance 3, 2D Atom Pairs
4558,F03[P-I],Frequency of P &#8211; I at topological distance 3, 2D Atom Pairs
4559,F03[P-B],Frequency of P &#8211; B at topological distance 3, 2D Atom Pairs
4560,F03[P-Si],Frequency of P &#8211; Si at topological distance 3, 2D Atom Pairs
4561,F03[P-X],Frequency of P &#8211; X at topological distance 3, 2D Atom Pairs
4562,F03[F-F],Frequency of F &#8211; F at topological distance 3, 2D Atom Pairs
4563,F03[F-Cl],Frequency of F &#8211; Cl at topological distance 3, 2D Atom Pairs
4564,F03[F-Br],Frequency of F &#8211; Br at topological distance 3, 2D Atom Pairs
4565,F03[F-I],Frequency of F &#8211; I at topological distance 3, 2D Atom Pairs
4566,F03[F-B],Frequency of F &#8211; B at topological distance 3, 2D Atom Pairs
4567,F03[F-Si],Frequency of F &#8211; Si at topological distance 3, 2D Atom Pairs
4568,F03[F-X],Frequency of F &#8211; X at topological distance 3, 2D Atom Pairs
4569,F03[Cl-Cl],Frequency of Cl &#8211; Cl at topological distance 3, 2D Atom Pairs
4570,F03[Cl-Br],Frequency of Cl &#8211; Br at topological distance 3, 2D Atom Pairs
4571,F03[Cl-I],Frequency of Cl &#8211; I at topological distance 3, 2D Atom Pairs
4572,F03[Cl-B],Frequency of Cl &#8211; B at topological distance 3, 2D Atom Pairs
4573,F03[Cl-Si],Frequency of Cl &#8211; Si at topological distance 3, 2D Atom Pairs
4574,F03[Cl-X],Frequency of Cl &#8211; X at topological distance 3, 2D Atom Pairs
4575,F03[Br-Br],Frequency of Br &#8211; Br at topological distance 3, 2D Atom Pairs
4576,F03[Br-I],Frequency of Br &#8211; I at topological distance 3, 2D Atom Pairs
4577,F03[Br-B],Frequency of Br &#8211; B at topological distance 3, 2D Atom Pairs
4578,F03[Br-Si],Frequency of Br &#8211; Si at topological distance 3, 2D Atom Pairs
4579,F03[Br-X],Frequency of Br &#8211; X at topological distance 3, 2D Atom Pairs
4580,F03[I-I],Frequency of I &#8211; I at topological distance 3, 2D Atom Pairs
4581,F03[I-B],Frequency of I &#8211; B at topological distance 3, 2D Atom Pairs
4582,F03[I-Si],Frequency of I &#8211; Si at topological distance 3, 2D Atom Pairs
4583,F03[I-X],Frequency of I &#8211; X at topological distance 3, 2D Atom Pairs
4584,F03[B-B],Frequency of B &#8211; B at topological distance 3, 2D Atom Pairs
4585,F03[B-Si],Frequency of B &#8211; Si at topological distance 3, 2D Atom Pairs
4586,F03[B-X],Frequency of B &#8211; X at topological distance 3, 2D Atom Pairs
4587,F03[Si-Si],Frequency of Si &#8211; Si at topological distance 3, 2D Atom Pairs
4588,F03[Si-X],Frequency of Si &#8211; X at topological distance 3, 2D Atom Pairs
4589,F03[X-X],Frequency of X &#8211; X at topological distance 3, 2D Atom Pairs
4590,F04[C-C],Frequency of C &#8211; C at topological distance 4, 2D Atom Pairs
4591,F04[C-N],Frequency of C &#8211; N at topological distance 4, 2D Atom Pairs
4592,F04[C-O],Frequency of C &#8211; O at topological distance 4, 2D Atom Pairs
4593,F04[C-S],Frequency of C &#8211; S at topological distance 4, 2D Atom Pairs
4594,F04[C-P],Frequency of C &#8211; P at topological distance 4, 2D Atom Pairs
4595,F04[C-F],Frequency of C &#8211; F at topological distance 4, 2D Atom Pairs
4596,F04[C-Cl],Frequency of C &#8211; Cl at topological distance 4, 2D Atom Pairs
4597,F04[C-Br],Frequency of C &#8211; Br at topological distance 4, 2D Atom Pairs
4598,F04[C-I],Frequency of C &#8211; I at topological distance 4, 2D Atom Pairs
4599,F04[C-B],Frequency of C &#8211; B at topological distance 4, 2D Atom Pairs
4600,F04[C-Si],Frequency of C &#8211; Si at topological distance 4, 2D Atom Pairs
4601,F04[C-X],Frequency of C &#8211; X at topological distance 4, 2D Atom Pairs
4602,F04[N-N],Frequency of N &#8211; N at topological distance 4, 2D Atom Pairs
4603,F04[N-O],Frequency of N &#8211; O at topological distance 4, 2D Atom Pairs
4604,F04[N-S],Frequency of N &#8211; S at topological distance 4, 2D Atom Pairs
4605,F04[N-P],Frequency of N &#8211; P at topological distance 4, 2D Atom Pairs
4606,F04[N-F],Frequency of N &#8211; F at topological distance 4, 2D Atom Pairs
4607,F04[N-Cl],Frequency of N &#8211; Cl at topological distance 4, 2D Atom Pairs
4608,F04[N-Br],Frequency of N &#8211; Br at topological distance 4, 2D Atom Pairs
4609,F04[N-I],Frequency of N &#8211; I at topological distance 4, 2D Atom Pairs
4610,F04[N-B],Frequency of N &#8211; B at topological distance 4, 2D Atom Pairs
4611,F04[N-Si],Frequency of N &#8211; Si at topological distance 4, 2D Atom Pairs
4612,F04[N-X],Frequency of N &#8211; X at topological distance 4, 2D Atom Pairs
4613,F04[O-O],Frequency of O &#8211; O at topological distance 4, 2D Atom Pairs
4614,F04[O-S],Frequency of O &#8211; S at topological distance 4, 2D Atom Pairs
4615,F04[O-P],Frequency of O &#8211; P at topological distance 4, 2D Atom Pairs
4616,F04[O-F],Frequency of O &#8211; F at topological distance 4, 2D Atom Pairs
4617,F04[O-Cl],Frequency of O &#8211; Cl at topological distance 4, 2D Atom Pairs
4618,F04[O-Br],Frequency of O &#8211; Br at topological distance 4, 2D Atom Pairs
4619,F04[O-I],Frequency of O &#8211; I at topological distance 4, 2D Atom Pairs
4620,F04[O-B],Frequency of O &#8211; B at topological distance 4, 2D Atom Pairs
4621,F04[O-Si],Frequency of O &#8211; Si at topological distance 4, 2D Atom Pairs
4622,F04[O-X],Frequency of O &#8211; X at topological distance 4, 2D Atom Pairs
4623,F04[S-S],Frequency of S &#8211; S at topological distance 4, 2D Atom Pairs
4624,F04[S-P],Frequency of S &#8211; P at topological distance 4, 2D Atom Pairs
4625,F04[S-F],Frequency of S &#8211; F at topological distance 4, 2D Atom Pairs
4626,F04[S-Cl],Frequency of S &#8211; Cl at topological distance 4, 2D Atom Pairs
4627,F04[S-Br],Frequency of S &#8211; Br at topological distance 4, 2D Atom Pairs
4628,F04[S-I],Frequency of S &#8211; I at topological distance 4, 2D Atom Pairs
4629,F04[S-B],Frequency of S &#8211; B at topological distance 4, 2D Atom Pairs
4630,F04[S-Si],Frequency of S &#8211; Si at topological distance 4, 2D Atom Pairs
4631,F04[S-X],Frequency of S &#8211; X at topological distance 4, 2D Atom Pairs
4632,F04[P-P],Frequency of P &#8211; P at topological distance 4, 2D Atom Pairs
4633,F04[P-F],Frequency of P &#8211; F at topological distance 4, 2D Atom Pairs
4634,F04[P-Cl],Frequency of P &#8211; Cl at topological distance 4, 2D Atom Pairs
4635,F04[P-Br],Frequency of P &#8211; Br at topological distance 4, 2D Atom Pairs
4636,F04[P-I],Frequency of P &#8211; I at topological distance 4, 2D Atom Pairs
4637,F04[P-B],Frequency of P &#8211; B at topological distance 4, 2D Atom Pairs
4638,F04[P-Si],Frequency of P &#8211; Si at topological distance 4, 2D Atom Pairs
4639,F04[P-X],Frequency of P &#8211; X at topological distance 4, 2D Atom Pairs
4640,F04[F-F],Frequency of F &#8211; F at topological distance 4, 2D Atom Pairs
4641,F04[F-Cl],Frequency of F &#8211; Cl at topological distance 4, 2D Atom Pairs
4642,F04[F-Br],Frequency of F &#8211; Br at topological distance 4, 2D Atom Pairs
4643,F04[F-I],Frequency of F &#8211; I at topological distance 4, 2D Atom Pairs
4644,F04[F-B],Frequency of F &#8211; B at topological distance 4, 2D Atom Pairs
4645,F04[F-Si],Frequency of F &#8211; Si at topological distance 4, 2D Atom Pairs
4646,F04[F-X],Frequency of F &#8211; X at topological distance 4, 2D Atom Pairs
4647,F04[Cl-Cl],Frequency of Cl &#8211; Cl at topological distance 4, 2D Atom Pairs
4648,F04[Cl-Br],Frequency of Cl &#8211; Br at topological distance 4, 2D Atom Pairs
4649,F04[Cl-I],Frequency of Cl &#8211; I at topological distance 4, 2D Atom Pairs
4650,F04[Cl-B],Frequency of Cl &#8211; B at topological distance 4, 2D Atom Pairs
4651,F04[Cl-Si],Frequency of Cl &#8211; Si at topological distance 4, 2D Atom Pairs
4652,F04[Cl-X],Frequency of Cl &#8211; X at topological distance 4, 2D Atom Pairs
4653,F04[Br-Br],Frequency of Br &#8211; Br at topological distance 4, 2D Atom Pairs
4654,F04[Br-I],Frequency of Br &#8211; I at topological distance 4, 2D Atom Pairs
4655,F04[Br-B],Frequency of Br &#8211; B at topological distance 4, 2D Atom Pairs
4656,F04[Br-Si],Frequency of Br &#8211; Si at topological distance 4, 2D Atom Pairs
4657,F04[Br-X],Frequency of Br &#8211; X at topological distance 4, 2D Atom Pairs
4658,F04[I-I],Frequency of I &#8211; I at topological distance 4, 2D Atom Pairs
4659,F04[I-B],Frequency of I &#8211; B at topological distance 4, 2D Atom Pairs
4660,F04[I-Si],Frequency of I &#8211; Si at topological distance 4, 2D Atom Pairs
4661,F04[I-X],Frequency of I &#8211; X at topological distance 4, 2D Atom Pairs
4662,F04[B-B],Frequency of B &#8211; B at topological distance 4, 2D Atom Pairs
4663,F04[B-Si],Frequency of B &#8211; Si at topological distance 4, 2D Atom Pairs
4664,F04[B-X],Frequency of B &#8211; X at topological distance 4, 2D Atom Pairs
4665,F04[Si-Si],Frequency of Si &#8211; Si at topological distance 4, 2D Atom Pairs
4666,F04[Si-X],Frequency of Si &#8211; X at topological distance 4, 2D Atom Pairs
4667,F04[X-X],Frequency of X &#8211; X at topological distance 4, 2D Atom Pairs
4668,F05[C-C],Frequency of C &#8211; C at topological distance 5, 2D Atom Pairs
4669,F05[C-N],Frequency of C &#8211; N at topological distance 5, 2D Atom Pairs
4670,F05[C-O],Frequency of C &#8211; O at topological distance 5, 2D Atom Pairs
4671,F05[C-S],Frequency of C &#8211; S at topological distance 5, 2D Atom Pairs
